Score,Vision,Speed,Risk,Tier,Average
110,1,2,4,7,24.3
200,1,2,4,7,74.9
240,4,6,4,7,108.5
260,4,6,4,7,147.0
240,4,6,4,7,192.0
250,4,6,4,7,190.7
230,4,6,4,7,181.5
260,4,6,4,7,205.9
260,4,6,4,7,221.0
220,4,6,4,7,211.0
240,4,6,4,7,187.8
240,4,6,4,7,200.5
250,4,6,4,7,187.3
260,4,6,4,7,207.6
240,4,6,4,7,220.0
240,4,6,4,7,197.1
240,4,6,4,7,201.0
240,4,6,4,7,219.0
270,4,6,4,7,221.8
240,4,6,4,7,223.0
270,4,6,4,7,199.5
240,4,6,4,7,204.0
240,4,6,4,7,217.0
250,4,6,4,7,207.0
260,4,6,4,7,208.4
270,4,6,4,7,201.3
260,4,6,4,7,213.0
260,4,6,4,7,226.0
250,4,6,4,7,204.0
240,4,6,4,7,182.1
250,4,6,4,5,182.3
240,4,6,4,5,206.0
230,4,6,4,7,170.8
250,4,6,4,5,170.7
250,4,6,4,7,203.0
250,4,6,4,7,206.7
250,4,6,4,7,198.0
230,4,6,4,7,198.8
260,4,6,4,7,217.2
250,4,6,4,7,203.5
230,4,6,4,7,179.0
250,4,6,4,7,224.0
230,4,6,4,7,172.8
250,4,6,4,7,198.9
240,4,6,4,7,216.0
250,4,6,4,7,119.4
250,4,6,4,7,208.0
240,4,6,4,7,220.0
260,4,6,4,7,228.0
250,4,6,4,7,222.0
240,4,6,4,7,155.5
240,4,6,4,7,215.0
230,4,6,4,7,138.4
240,4,6,4,7,170.0
250,4,6,4,7,220.0
250,4,6,4,7,226.0
250,4,6,4,7,180.2
260,4,6,4,7,218.0
230,4,6,4,7,209.0
230,4,4,4,7,210.0
250,4,4,4,7,201.7
220,4,6,4,7,151.1
250,4,4,4,7,185.0
240,4,6,4,7,175.4
260,4,4,4,7,181.5
230,4,4,4,7,178.3
230,4,4,4,7,178.8
210,4,4,4,7,190.0
250,3,5,4,5,183.7
270,4,4,4,7,197.9
230,4,4,4,7,179.4
240,3,5,4,7,165.9
220,4,5,4,7,173.2
240,3,6,4,7,185.3
270,4,6,4,7,213.0
250,4,5,4,7,194.8
220,4,5,4,7,170.4
230,4,5,4,7,178.3
220,3,5,4,7,167.3
250,4,5,4,7,202.0
230,5,5,4,7,177.6
260,5,5,4,7,181.6
250,3,5,4,7,206.0
260,5,5,4,7,195.6
240,5,5,4,7,173.3
240,5,5,4,7,147.2
240,3,5,4,7,217.0
240,5,5,4,7,205.0
260,3,5,4,7,150.9
240,5,5,4,7,198.9
240,5,5,4,7,202.0
230,3,5,4,7,191.3
240,5,5,4,7,202.4
250,5,5,4,7,193.1
240,5,5,4,7,193.9
230,5,5,4,7,193.0
260,5,5,4,7,221.0
260,5,5,4,7,221.0
260,5,5,4,7,177.4
250,5,5,4,7,190.1
230,5,5,4,7,201.0
250,5,5,4,7,189.7
250,5,5,4,7,192.2
260,5,5,4,7,201.1
220,5,5,4,7,170.5
250,3,5,4,7,216.0
